"Year","Month","Day","Site.Name","COUNTY","meanLatitude","meanLongtiude","PM2.5","Ozone"
"2018","01","01","Bryson City","Swain",35.434767,-83.442133,35,NA
"2018","01","01","Castle Hayne","New Hanover",34.364167,-77.838611,13,NA
"2018","01","01","Clemmons Middle","Forsyth",36.026,-80.342,24,NA
"2018","01","01","Durham Armory","Durham",36.0329550008979,-78.904037,31,NA
"2018","01","01","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,32
"2018","01","01","Hattie Avenue","Forsyth",36.110693332,-80.2264378,22,NA
"2018","01","01","Leggett","Edgecombe",35.988278,-77.5843,14,NA
"2018","01","01","Millbrook School","Wake",35.856111,-78.574167,28,34
"2018","01","01","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15,NA
"2018","01","01","West Johnston Co.","Johnston",35.59095,-78.4622,24,NA
"2018","01","02","Bryson City","Swain",35.434767,-83.442133,51,NA
"2018","01","02","Castle Hayne","New Hanover",34.364167,-77.838611,15,NA
"2018","01","02","Clemmons Middle","Forsyth",36.026,-80.342,40,NA
"2018","01","02","Durham Armory","Durham",36.0329550008979,-78.904037,37,NA
"2018","01","02","Frying Pan Mountain","Haywood",35.379167,-82.7925,7,NA
"2018","01","02","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,38,31
"2018","01","02","Hattie Avenue","Forsyth",36.110693332,-80.2264378,25.5,NA
"2018","01","02","Leggett","Edgecombe",35.988278,-77.5843,20,NA
"2018","01","02","Linville Falls","Avery",35.972347,-81.933072,12,NA
"2018","01","02","Millbrook School","Wake",35.856111,-78.574167,38.5,31
"2018","01","02","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,28,NA
"2018","01","02","West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
"2018","01","03","Bryson City","Swain",35.434767,-83.442133,44,NA
"2018","01","03","Castle Hayne","New Hanover",34.364167,-77.838611,18,NA
"2018","01","03","Clemmons Middle","Forsyth",36.026,-80.342,68,NA
"2018","01","03","Durham Armory","Durham",36.0329550008979,-78.904037,58,NA
"2018","01","03","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,59,21
"2018","01","03","Hattie Avenue","Forsyth",36.110693332,-80.2264378,55,NA
"2018","01","03","Leggett","Edgecombe",35.988278,-77.5843,23,NA
"2018","01","03","Mendenhall School","Guilford",36.1090060008986,-79.802314,60,NA
"2018","01","03","Millbrook School","Wake",35.856111,-78.574167,61,30
"2018","01","03","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,34,NA
